iter	RMSE
0	8.421734529
1	7.691787362
2	7.043141979
3	6.442861071
4	5.899828091
5	5.404172181
6	4.955234384
7	4.55288042
8	4.170836442
9	3.836622229
10	3.532383963
11	3.25230932
12	2.991638212
13	2.760094918
14	2.546652081
15	2.351058496
16	2.167984544
17	2.004601267
18	1.858395718
19	1.723998184
20	1.598666499
21	1.484274878
22	1.383934152
23	1.287969165
24	1.200502812
25	1.122481856
26	1.054395125
27	0.9990774586
28	0.9390327417
29	0.8845554347
30	0.8349747709
31	0.7929018035
32	0.7558013201
33	0.7200967329
34	0.6880306991
35	0.6601759833
36	0.6333244948
37	0.6092663534
38	0.5888275847
39	0.5686043571
40	0.5520178968
41	0.5372439365
42	0.523021139
43	0.5101715528
44	0.4979263482
45	0.487587088
46	0.4756869786
47	0.4662347345
48	0.4583882416
49	0.4500294698
50	0.4425003445
51	0.4356864742
52	0.4283509834
53	0.4224884552
54	0.4164511661
55	0.4095996274
56	0.4043947873
57	0.4000522796
58	0.3955653568
59	0.3913663495
60	0.3870445938
61	0.3831396834
62	0.3792889478
63	0.3753516868
64	0.3716987504
65	0.3681610348
66	0.3651918315
67	0.3611872569
68	0.3577967111
69	0.3548563464
70	0.3522629106
71	0.3492215965
72	0.3461385256
73	0.3430110004
74	0.3412188266
75	0.3386449014
76	0.3359237885
77	0.3332615395
78	0.330680493
79	0.3279784887
80	0.3255176616
81	0.3237203906
82	0.3219093979
83	0.3195989038
84	0.3174179875
85	0.3160473144
86	0.3136941963
87	0.3122530663
88	0.3106044414
89	0.3086588124
90	0.3070487944
91	0.3048169824
92	0.3035209945
93	0.3019792313
94	0.2997591018
95	0.297848667
96	0.2960197434
97	0.2940583637
98	0.293019514
99	0.2916436432
100	0.2901794877
101	0.2890343479
102	0.2872309721
103	0.285432375
104	0.2833944834
105	0.2821487944
106	0.2804528661
107	0.2792083699
108	0.2782088659
109	0.2770823737
110	0.2758194682
111	0.2747043339
112	0.2731818456
113	0.2720508991
114	0.2709964784
115	0.2694678333
116	0.2679505121
117	0.2668462877
118	0.2654510131
119	0.2642417638
120	0.2629371561
121	0.2620217481
122	0.2610704999
123	0.2601282904
124	0.2593477893
125	0.2580231334
126	0.2569493087
127	0.2559914554
128	0.2551368203
129	0.2537225362
130	0.2522811808
131	0.2511726902
132	0.2501838014
133	0.2493998449
134	0.2484038698
135	0.2479202087
136	0.2466513032
137	0.2458799239
138	0.245074463
139	0.243613095
140	0.2425007916
141	0.2415109511
142	0.2407527201
143	0.2398644331
144	0.2386425821
145	0.2377302998
146	0.2366756569
147	0.2357043904
148	0.2348688519
149	0.2341113154
150	0.2327152752
151	0.2319584206
152	0.2313701589
153	0.2305725125
154	0.2296076624
155	0.2282725984
156	0.2274770028
157	0.2264269801
158	0.2256544235
159	0.224789967
160	0.223807279
161	0.2231422117
162	0.222741895
163	0.2216387818
164	0.2209470363
165	0.220182702
166	0.2196611591
167	0.2183457352
168	0.217519029
169	0.2170003536
170	0.2162187098
171	0.2156250626
172	0.2144947385
173	0.2141667749
174	0.2136674195
175	0.2132080887
176	0.2125958643
177	0.2120277711
178	0.2115392261
179	0.210787492
180	0.2102338467
181	0.2096298902
182	0.2088613644
183	0.2082495302
184	0.2076949483
185	0.2071899257
186	0.2062978207
187	0.2058262456
188	0.2053901165
189	0.2045534488
190	0.2039929671
191	0.2033292581
192	0.2023606465
193	0.2015886539
194	0.2008179946
195	0.200281394
196	0.1997633313
197	0.1993290785
198	0.1984799785
199	0.1980379143
200	0.19761894
201	0.197007461
202	0.1962063204
203	0.1955591691
204	0.1951416352
205	0.1945046904
206	0.1940937975
207	0.1936496314
208	0.1931263439
209	0.1924892447
210	0.1920278035
211	0.191630481
212	0.191157785
213	0.1901898928
214	0.189777027
215	0.1893403951
216	0.1887617931
217	0.1879810342
218	0.187454684
219	0.1869406404
220	0.1865107479
221	0.186010177
222	0.1854714991
223	0.185036735
224	0.1844213204
225	0.1839643653
226	0.1835859194
227	0.1832899944
228	0.1827734942
229	0.1824231783
230	0.1818825008
231	0.1815222823
232	0.1811643813
233	0.1805042356
234	0.1800704332
235	0.1796160778
236	0.1791569841
237	0.1785961414
238	0.1779583561
239	0.1772856423
240	0.1769391415
241	0.1765142267
242	0.1760445409
243	0.1755301516
244	0.1750644671
245	0.1748348724
246	0.1745117221
247	0.1740642723
248	0.1737392122
249	0.1734028715
250	0.1730892999
251	0.1726866243
252	0.172387949
253	0.1719718298
254	0.1717308442
255	0.171342521
256	0.1709751392
257	0.170493072
258	0.1701484713
259	0.1695732694
260	0.1691249561
261	0.1687396611
262	0.1684453134
263	0.1680708931
264	0.167819908
265	0.1675405474
266	0.1671428598
267	0.1667897474
268	0.1664553362
269	0.1657984971
270	0.1654974751
271	0.1651603241
272	0.1648952273
273	0.1645546349
274	0.1639921587
275	0.1637341093
276	0.1633583553
277	0.1630825484
278	0.1626153952
279	0.1622412739
280	0.161844068
281	0.1615504172
282	0.161093109
283	0.1607690207
284	0.1603468811
285	0.1599605423
286	0.1596718571
287	0.1593621858
288	0.1590246302
289	0.1587510938
290	0.1584261463
291	0.1580783957
292	0.1577679281
293	0.1574894869
294	0.1572596456
295	0.1569479812
296	0.1565409116
297	0.1561628214
298	0.1558993698
299	0.1553474578
300	0.1549941677
301	0.1547784465
302	0.1545689648
303	0.1542925165
304	0.1541108419
305	0.1536752543
306	0.1533377824
307	0.1530093705
308	0.1528033388
309	0.1525036002
310	0.152232915
311	0.1519846814
312	0.1517197318
313	0.1514594686
314	0.151265485
315	0.1509344021
316	0.1505233068
317	0.1502533767
318	0.1500147174
319	0.1497546106
320	0.1494853601
321	0.1492589063
322	0.1490379098
323	0.1487279387
324	0.1483135487
325	0.1479259729
326	0.1475389597
327	0.1471806666
328	0.1469137135
329	0.1466119223
330	0.1464010133
331	0.1461760121
332	0.1460445875
333	0.1458188221
334	0.1455529491
335	0.1453210783
336	0.1451083996
337	0.1447817501
338	0.1445561774
339	0.144338204
340	0.1439956738
341	0.1438517315
342	0.1435903476
343	0.1433824357
344	0.1430210983
345	0.1427911787
346	0.1425800049
347	0.1424126883
348	0.1422016629
349	0.1419228376
350	0.1416293711
351	0.1414574721
352	0.1411398408
353	0.1407964192
354	0.1406631015
355	0.1404094066
356	0.1402694818
357	0.1399897392
358	0.1398509101
359	0.1397038476
360	0.1395244071
361	0.1391914788
362	0.1387890671
363	0.1386194974
364	0.1384069332
365	0.1382447961
366	0.1380109212
367	0.1377476086
368	0.1374802644
369	0.1371790014
370	0.1368401486
371	0.1366382997
372	0.1364181915
373	0.1360576228
374	0.1357452439
375	0.1355663214
376	0.1352444777
377	0.1349463354
378	0.1347000959
379	0.1344785149
380	0.1343002879
381	0.1340955934
382	0.1338921752
383	0.1337209293
384	0.1334631741
385	0.133230528
386	0.1331049128
387	0.1328357276
388	0.1326129065
389	0.1322863001
390	0.1321196569
391	0.1319404558
392	0.1317891882
393	0.1316156316
394	0.1313586624
395	0.1311940193
396	0.1309310059
397	0.1307376801
398	0.1305774788
399	0.1303430531
400	0.1301221713
401	0.1298893651
402	0.1297214146
403	0.1294655274
404	0.1292518839
405	0.1289534912
406	0.1287971245
407	0.1286303669
408	0.1283930379
409	0.1281775156
410	0.1280209225
411	0.1278780846
412	0.1276628651
413	0.1274723152
414	0.1272477904
415	0.1270629814
416	0.1268874707
417	0.1267359823
418	0.1264779785
419	0.1261772042
420	0.1260758982
421	0.1258941815
422	0.1257692301
423	0.1254977289
424	0.1252981135
425	0.1250519366
426	0.1249198155
427	0.1247614365
428	0.1245525227
429	0.1243823811
430	0.1242473665
431	0.1239825883
432	0.1238076548
433	0.1235560469
434	0.1234379295
435	0.1232996318
436	0.1231332225
437	0.1229137484
438	0.1227298786
439	0.1226003727
440	0.1223495626
441	0.1221281172
442	0.1219459631
443	0.1217491674
444	0.1215872884
445	0.1214291143
446	0.121280325
447	0.1211690472
448	0.1209839377
449	0.1208402686
450	0.1206280106
451	0.1204638491
452	0.1203347586
