iter	Passed	Remaining
0	155	154678
1	170	84575
2	185	61202
3	199	49457
4	214	42455
5	229	37762
6	243	34341
7	257	31744
8	271	29731
9	285	28087
10	299	26776
11	313	25719
12	328	24838
13	343	24082
14	357	23380
15	371	22751
16	385	22206
17	400	21756
18	415	21351
19	430	20977
20	445	20645
21	459	20317
22	474	20040
23	488	19747
24	501	19469
25	517	19283
26	533	19111
27	548	18936
28	562	18731
29	576	18542
30	595	18522
31	620	18674
32	642	18716
33	660	18657
34	676	18548
35	691	18420
36	706	18289
37	722	18193
38	740	18162
39	758	18099
40	776	18057
41	793	18001
42	808	17898
43	823	17802
44	838	17709
45	854	17627
46	870	17567
47	886	17487
48	902	17417
49	918	17354
50	934	17298
51	950	17230
52	965	17161
53	981	17102
54	996	17038
55	1012	16972
56	1028	16923
57	1044	16870
58	1059	16806
59	1074	16750
60	1089	16678
61	1104	16622
62	1121	16589
63	1139	16571
64	1156	16551
65	1173	16521
66	1189	16478
67	1206	16444
68	1223	16413
69	1241	16400
70	1258	16376
71	1277	16374
72	1295	16358
73	1311	16324
74	1328	16298
75	1345	16270
76	1364	16262
77	1382	16252
78	1400	16241
79	1416	16201
80	1431	16150
81	1445	16098
82	1460	16047
83	1474	15987
84	1488	15939
85	1504	15897
86	1519	15857
87	1534	15813
88	1549	15771
89	1563	15724
90	1578	15679
91	1592	15634
92	1607	15594
93	1622	15552
94	1636	15506
95	1650	15455
96	1665	15415
97	1679	15373
98	1693	15331
99	1709	15299
100	1724	15262
101	1739	15229
102	1754	15190
103	1768	15150
104	1783	15118
105	1798	15084
106	1812	15044
107	1827	15005
108	1841	14969
109	1856	14937
110	1870	14900
111	1885	14867
112	1899	14825
113	1913	14785
114	1927	14751
115	1942	14719
116	1956	14684
117	1971	14652
118	1985	14617
119	1999	14582
120	2014	14548
121	2028	14516
122	2043	14486
123	2058	14456
124	2072	14426
125	2086	14393
126	2101	14364
127	2115	14326
128	2128	14291
129	2142	14255
130	2157	14228
131	2171	14200
132	2186	14171
133	2200	14140
134	2214	14109
135	2228	14075
136	2242	14046
137	2258	14025
138	2274	14005
139	2289	13982
140	2304	13958
141	2320	13936
142	2334	13909
143	2348	13879
144	2362	13849
145	2376	13820
146	2391	13794
147	2405	13767
148	2420	13740
149	2434	13715
150	2448	13687
151	2462	13658
152	2476	13631
153	2492	13611
154	2507	13586
155	2521	13560
156	2536	13537
157	2551	13514
158	2565	13488
159	2579	13461
160	2593	13433
161	2607	13409
162	2621	13383
163	2636	13360
164	2651	13337
165	2667	13319
166	2681	13295
167	2695	13270
168	2710	13246
169	2724	13221
170	2738	13195
171	2752	13171
172	2767	13149
173	2781	13126
174	2796	13101
175	2810	13078
176	2824	13051
177	2838	13026
178	2852	13004
179	2867	12983
180	2882	12961
181	2897	12941
182	2911	12918
183	2925	12895
184	2939	12870
185	2953	12847
186	2968	12827
187	2982	12804
188	2997	12784
189	3012	12762
190	3026	12738
191	3040	12715
192	3054	12690
193	3067	12667
194	3081	12644
195	3096	12622
196	3110	12599
197	3125	12579
198	3139	12558
199	3153	12535
200	3167	12511
201	3181	12489
202	3196	12469
203	3210	12448
204	3225	12429
205	3239	12409
206	3256	12395
207	3271	12379
208	3287	12361
209	3302	12343
210	3317	12327
211	3332	12309
212	3348	12293
213	3364	12279
214	3379	12261
215	3394	12243
216	3410	12226
217	3425	12208
218	3441	12195
219	3457	12180
220	3473	12166
221	3489	12151
222	3505	12134
223	3521	12119
224	3536	12101
225	3553	12092
226	3569	12076
227	3586	12066
228	3603	12053
229	3620	12042
230	3636	12028
231	3652	12011
232	3668	11997
233	3684	11981
234	3701	11969
235	3716	11952
236	3731	11934
237	3747	11919
238	3763	11904
239	3779	11888
240	3793	11869
241	3809	11854
242	3825	11839
243	3842	11825
244	3857	11809
245	3873	11792
246	3888	11774
247	3903	11757
248	3918	11740
249	3933	11722
250	3949	11706
251	3964	11689
252	3981	11676
253	3997	11662
254	4012	11645
255	4027	11626
256	4042	11607
257	4058	11592
258	4073	11576
259	4089	11560
260	4105	11545
261	4120	11529
262	4135	11511
263	4151	11494
264	4166	11476
265	4181	11459
266	4196	11441
267	4211	11423
268	4225	11404
269	4240	11387
270	4255	11370
271	4271	11353
272	4287	11339
273	4303	11324
274	4319	11308
275	4334	11291
276	4349	11274
277	4365	11258
278	4379	11239
279	4395	11223
280	4410	11206
281	4424	11187
282	4439	11168
283	4454	11151
284	4469	11135
285	4485	11119
286	4501	11104
287	4517	11089
288	4533	11074
289	4548	11057
290	4563	11040
291	4578	11023
292	4594	11008
293	4609	10990
294	4624	10972
295	4639	10956
296	4655	10940
297	4670	10923
298	4685	10906
299	4699	10888
300	4714	10870
301	4729	10851
302	4743	10833
303	4758	10815
304	4772	10797
305	4786	10776
306	4799	10756
307	4813	10736
308	4827	10717
309	4841	10698
310	4856	10680
311	4870	10661
312	4884	10643
313	4899	10626
314	4913	10607
315	4928	10589
316	4943	10572
317	4957	10553
318	4971	10535
319	4984	10514
320	4998	10495
321	5012	10476
322	5026	10457
323	5040	10439
324	5055	10422
325	5069	10403
326	5083	10384
327	5096	10364
328	5111	10347
329	5126	10329
330	5140	10311
331	5154	10292
332	5168	10274
333	5181	10254
334	5195	10236
335	5209	10217
336	5224	10200
337	5238	10183
338	5253	10166
339	5268	10149
340	5283	10132
341	5298	10116
342	5313	10100
343	5329	10084
344	5345	10071
345	5362	10057
346	5378	10043
347	5394	10028
348	5409	10013
349	5425	9998
350	5441	9984
351	5458	9970
352	5473	9955
353	5489	9940
354	5505	9925
355	5521	9910
356	5536	9894
357	5551	9877
358	5567	9863
359	5597	9873
360	5617	9865
361	5635	9854
362	5650	9837
363	5664	9819
364	5679	9802
365	5693	9785
366	5708	9768
367	5723	9751
368	5738	9734
369	5753	9718
370	5767	9701
371	5782	9684
372	5796	9666
373	5811	9649
374	5825	9631
375	5840	9614
376	5855	9598
377	5869	9581
378	5884	9564
379	5899	9547
380	5914	9531
381	5929	9514
382	5943	9497
383	5958	9480
384	5972	9463
385	5987	9445
386	6001	9428
387	6016	9412
388	6031	9395
389	6045	9378
390	6061	9363
391	6077	9348
392	6093	9333
393	6109	9319
394	6125	9303
395	6142	9290
396	6158	9276
397	6175	9263
398	6192	9249
399	6208	9234
400	6224	9220
401	6241	9206
402	6258	9192
403	6274	9179
404	6290	9164
405	6306	9148
406	6321	9132
407	6335	9115
408	6351	9099
409	6366	9083
410	6382	9068
411	6398	9053
412	6413	9038
413	6429	9022
414	6444	9006
415	6458	8989
416	6473	8973
417	6488	8956
418	6503	8940
419	6518	8923
420	6532	8906
421	6547	8890
422	6561	8872
423	6576	8856
424	6591	8839
425	6605	8822
426	6619	8805
427	6634	8789
428	6649	8773
429	6664	8756
430	6679	8740
431	6693	8723
432	6708	8706
433	6723	8690
434	6738	8674
435	6752	8658
436	6767	8641
437	6782	8624
438	6796	8607
439	6810	8590
440	6825	8574
441	6839	8557
442	6855	8541
443	6870	8525
444	6884	8509
445	6899	8492
446	6913	8475
447	6928	8459
448	6942	8442
449	6957	8426
450	6972	8409
451	6987	8393
452	7001	8376
453	7015	8360
454	7030	8343
455	7045	8327
456	7059	8311
457	7074	8295
458	7089	8279
459	7105	8263
460	7120	8248
461	7136	8233
462	7152	8218
463	7168	8203
464	7184	8189
465	7201	8174
466	7218	8161
467	7237	8149
468	7253	8135
469	7270	8121
470	7286	8106
471	7303	8092
472	7320	8078
473	7338	8065
474	7355	8052
475	7372	8038
476	7388	8024
477	7404	8009
478	7421	7994
479	7437	7979
480	7453	7965
